125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3414715 --> 193.170.87.146 C:\LASET\PREDICTS x3414715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3514715 --> 193.170.87.146 C:\LASET\PREDICTS x3514715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3614715 --> 193.170.87.146 C:\LASET\PREDICTS x3614715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3714715 --> 193.170.87.146 C:\LASET\PREDICTS x3714715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3814715 --> 193.170.87.146 C:\LASET\PREDICTS x3814715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x3914715 --> 193.170.87.146 C:\LASET\PREDICTS x3914715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4014715 --> 193.170.87.146 C:\LASET\PREDICTS x4014715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4114715 --> 193.170.87.146 C:\LASET\PREDICTS x4114715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4214715 --> 193.170.87.146 C:\LASET\PREDICTS x4214715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4314715 --> 193.170.87.146 C:\LASET\PREDICTS x4314715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4414715 --> 193.170.87.146 C:\LASET\PREDICTS x4414715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4514715 --> 193.170.87.146 C:\LASET\PREDICTS x4514715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4614715 --> 193.170.87.146 C:\LASET\PREDICTS x4614715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4714715 --> 193.170.87.146 C:\LASET\PREDICTS x4714715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4814715 --> 193.170.87.146 C:\LASET\PREDICTS x4814715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x4914715 --> 193.170.87.146 C:\LASET\PREDICTS x4914715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5014715 --> 193.170.87.146 C:\LASET\PREDICTS x5014715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5114715 --> 193.170.87.146 C:\LASET\PREDICTS x5114715
125.05.27 18:44 A pycode_adaptiveoptics\skymapper\ref_pnt_data\x5214715 --> 193.170.87.146 C:\LASET\PREDICTS x5214715
